contcod,ppp_2005,ppp_percentile,cum_perc
BRA,129.97,1.13,2.5
BRA,534.98,13.46,7.5
BRA,792.29,22.71,12.5
BRA,1022.31,29.78,17.5
BRA,1215.79,35.24,22.5
BRA,1457.41,40.87,27.5
BRA,1688.34,45.18,32.5
BRA,1920.73,49.01,37.5
BRA,2215.88,53.03,42.5
BRA,2512.24,56.37,47.5
BRA,2878.04,59.66,52.5
BRA,3301.85,62.91,57.5
BRA,3607.63,64.83,62.5
BRA,4189.37,67.99,67.5
BRA,4855.43,71.15,72.5
BRA,5740.81,74.33,77.5
BRA,6966.86,77.95,82.5
BRA,8967.15,82.51,87.5
BRA,13007.2,88.47,92.5
BRA,32512.73,97.87,97.5
CHN,441.34,9.7,1.53
CHN,548.46,13.46,4.56
CHN,630.85,17.16,7.56
CHN,709.3,19.32,10.6
CHN,788.41,22.02,13.69
CHN,864.54,24.76,16.84
CHN,954.29,27.98,20.06
CHN,1022.23,29.78,23.37
CHN,1111.98,32.6,26.78
CHN,1189.01,34.21,30.31
CHN,1286.62,36.74,33.97
CHN,1384.21,39.14,37.79
CHN,1492.62,41.69,41.81
CHN,1616.87,44.06,46.07
CHN,1764.47,46.51,50.65
CHN,1948.36,49.32,55.69
CHN,2188.09,52.48,61.42
CHN,2550.13,56.78,68.33
CHN,3202.95,62.16,77.61
CHN,6145.11,75.64,91.53
DEU,4479.09,69.43,2.5
DEU,6557.65,76.85,7.5
DEU,7844.43,80.16,12.5
DEU,8818.4,82.25,17.5
DEU,9680.07,83.85,22.5
DEU,10459.24,85.11,27.5
DEU,11121.54,86.1,32.5
DEU,11919.04,87.18,37.5
DEU,12660.4,88.08,42.5
DEU,13476.24,89.02,47.5
DEU,14345.94,89.95,52.5
DEU,15363.44,90.98,57.5
DEU,16493.24,91.89,62.5
DEU,17859.09,92.86,67.5
DEU,19431.18,93.81,72.5
DEU,21231.3,94.72,77.5
DEU,23311.0,95.59,82.5
DEU,26350.92,96.6,87.5
DEU,31286.06,97.67,92.5
DEU,53171.63,99.4,97.5
IND,237.31,3.54,2.5
IND,298.97,5.13,7.5
IND,335.42,6.34,12.5
IND,365.59,6.99,17.5
IND,392.54,8.28,22.5
IND,420.41,8.95,27.5
IND,447.87,9.7,32.5
IND,475.43,11.15,37.5
IND,504.69,11.9,42.5
IND,536.09,13.46,47.5
IND,569.76,14.16,52.5
IND,607.59,15.69,57.5
IND,650.34,17.89,62.5
IND,700.85,19.32,67.5
IND,764.21,21.36,72.5
IND,842.84,24.11,77.5
IND,952.68,27.98,82.5
IND,1113.12,32.6,87.5
IND,1395.62,39.57,92.5
IND,2764.01,58.67,97.5
